#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ERR2641635_metaphlan	ERR2641677_metaphlan	ERR2641733_metaphlan	SRR8692206_metaphlan	SRR8692207_metaphlan	SRR8692213_metaphlan	SRR059458_metaphlan	SRR059459_metaphlan	SRR513791_metaphlan
k__Bacteria	100.0	99.99719	99.78442	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	78.10741	62.0045	60.91635	42.47696	24.67185	4.64409	17.47338	17.6002	99.12949
k__Bacteria|p__Bacteroidota	14.75392	31.13398	24.8971	41.56409	35.14333	4.4189	22.4072	22.57859	0.00692
k__Bacteria|p__Actinobacteria	5.21882	3.50224	12.55742	2.38042	37.06353	89.09917	51.69755	51.50736	0.4939
k__Bacteria|p__Proteobacteria	1.91943	1.50998	0.69929	13.57854	3.11328	1.83783	0.28357	0.2941	0.17042
k__Bacteria|p__Bacteria_unclassified	0.00041	0.0066	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	74.09844	53.54881	49.70284	8.88258	0.0	2.47868	9.76528	9.85403	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	14.75392	31.13398	24.77237	41.56409	35.14333	4.4189	21.93471	22.09695	0.00692
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4.93064	1.81847	9.2577	2.34016	36.55315	88.40352	50.37498	50.18054	0.4939
k__Bacteria|p__Firmicutes|c__CFGB1765	1.90825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB2404	1.80752	0.65711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.1145	3.23016	0.16596	0.0	1.78016	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.41495	0.59061	0.78527	5.19335	0.98468	0.37351	5.80809	5.85016	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.2887	0.13529	0.1465	28.40103	21.7738	1.79191	0.41613	0.42656	99.1025
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.28567	1.68377	2.24309	0.04026	0.51038	0.69565	1.32258	1.32681	0.0
k__Bacteria|p__Firmicutes|c__CFGB3022	0.09056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292	0.0667	0.01424	0.00488	0.0	0.1332	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.05417	0.13022	0.11737	0.0	0.0	0.0	0.01123	0.01022	0.0
k__Bacteria|p__Proteobacteria|c__CFGB10055	0.05135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.03437	0.07471	0.02252	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.03082	0.0447	0.00634	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3057	0.0182	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72939	0.01039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038	0.00784	0.14313	0.17772	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
