Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.10	46.21	1.96	Gradient Boost (General Model)	11	0.888	3628	254.09051094890512	1173900	0.6	1370	360	11660	None
ERR2641635_bin.11	98.7	22.82	Neural Network (Specific Model)	11	0.911	12104	354.22353636901244	7882099	0.42	6764	1021	143750	None
ERR2641635_bin.12	92.04	1.45	Neural Network (Specific Model)	11	0.906	63045	318.52203255260025	2650738	0.44	2519	65	171248	None
ERR2641635_bin.13	97.44	2.08	Neural Network (Specific Model)	11	0.911	24257	321.62244027303757	2478020	0.38	2344	153	84987	None
ERR2641635_bin.14	83.38	0.25	Neural Network (Specific Model)	11	0.926	5573	310.5707596253902	1930185	0.37	1922	438	22478	None
ERR2641635_bin.15	6.84	0.02	Neural Network (Specific Model)	11	0.86	9631	295.83093525179856	286666	0.36	278	37	34407	None
ERR2641635_bin.17	94.63	1.65	Neural Network (Specific Model)	11	0.891	52196	333.93875318993804	3077817	0.47	2743	87	127875	None
ERR2641635_bin.19	78.32	0.4	Neural Network (Specific Model)	11	0.914	39123	369.06998284734135	3526323	0.48	2915	123	165252	None
ERR2641635_bin.21	7.91	0.01	Neural Network (Specific Model)	11	0.836	21557	222.64772727272728	280570	0.44	352	20	53032	None
ERR2641635_bin.22	74.75	0.08	Neural Network (Specific Model)	11	0.894	22482	344.15168153740564	1680219	0.44	1457	106	57938	None
ERR2641635_bin.23	19.95	0.99	Neural Network (Specific Model)	11	0.881	2523	236.61266568483063	1090302	0.33	1358	425	9449	None
ERR2641635_bin.26	85.37	62.28	Neural Network (Specific Model)	11	0.886	13646	312.50850785340316	4844457	0.45	4584	520	60968	None
ERR2641635_bin.28	48.61	0.1	Neural Network (Specific Model)	11	0.879	3973	264.31512272367377	1137727	0.6	1263	310	17398	None
ERR2641635_bin.3	5.39	0.0	Neural Network (Specific Model)	11	0.879	37092	305.5495049504951	210070	0.47	202	6	57470	None
ERR2641635_bin.30	91.41	0.05	Neural Network (Specific Model)	11	0.841	11432	316.58454810495624	2319030	0.57	2058	267	44740	None
ERR2641635_bin.36	11.24	0.02	Neural Network (Specific Model)	11	0.853	35496	281.01141552511416	431879	0.41	438	30	47543	None
ERR2641635_bin.37	79.56	28.26	Neural Network (Specific Model)	11	0.884	4043	267.14953271028037	4450159	0.41	4922	1212	37634	None
ERR2641635_bin.4	8.4	0.09	Neural Network (Specific Model)	11	0.862	31502	271.61603375527426	223285	0.48	237	16	43873	None
